,city,district,neighborhood,room,living_room,area,age,floor,price
7015,mugla,milas,ismet_pasa,3,1,110,8,1,9000
7016,mugla,fethiye,tasyaka,2,1,72,2,3,14000
7018,mugla,koycegiz,yeni,3,1,185,8,0,18000
7019,mugla,mentese,bayir,2,1,120,15,1,10000
7020,mugla,marmaris,tepe,2,1,90,20,1,25000
7021,mugla,fethiye,karaculha,3,1,170,10,5,14000
7022,mugla,fethiye,yeni,2,1,90,5,0,15000
7023,mugla,mentese,muslihittin,2,1,130,25,4,17500
7024,mugla,koycegiz,zeytinalani,3,1,140,5,1,12000
7026,mugla,bodrum,torba,2,1,100,5,0,40000
7027,mugla,mentese,dugerek,2,1,110,25,2,15000
7030,mugla,bodrum,umurca,3,1,240,16,0,50000
7031,mugla,bodrum,torba,2,1,110,1,2,50000
7032,mugla,ortaca,cayli,3,1,140,5,0,15000
7033,mugla,bodrum,turgutreis,2,1,75,15,2,20000
7034,mugla,milas,bogazici,4,1,200,0,2,60000
7035,mugla,marmaris,tepe,2,1,65,26,2,24000
7036,mugla,fethiye,karagedik,2,1,90,5,1,20000
7037,mugla,bodrum,bitez,2,1,60,3,0,45000
7039,mugla,ortaca,karaburun,2,1,90,0,2,15000
7041,mugla,fethiye,foca,4,1,210,4,0,30000
7042,mugla,marmaris,turgut,1,1,55,5,1,12500
7043,mugla,marmaris,armutalan,1,1,50,16,2,20000
7047,mugla,fethiye,tasyaka,3,1,140,11,1,20000
7051,mugla,marmaris,turunc,3,1,170,18,0,5250
7052,mugla,mentese,kotekli,1,1,50,15,3,10000
7053,mugla,marmaris,orhaniye,2,1,65,2,2,15000
7054,mugla,fethiye,gocek,2,1,60,1,2,33000
7055,mugla,milas,gulluk,1,1,50,20,1,15000
7057,mugla,fethiye,foca,3,1,200,11,0,43000
7058,mugla,dalaman,merkez,2,1,95,0,2,13000
7059,mugla,datca,resadiye,3,1,150,7,2,30000
7061,mugla,mentese,bayir,3,1,135,0,1,16000
7063,mugla,bodrum,gumusluk,3,1,120,5,0,50000
7064,mugla,milas,aydinlikevler,3,1,130,4,2,20000
7065,mugla,bodrum,yahsi,2,1,180,25,2,26000
7066,mugla,marmaris,siteler,3,1,220,15,0,35000
7068,mugla,bodrum,bitez,2,1,85,16,2,35000
7069,mugla,bodrum,geris,2,1,125,11,2,60000
7070,mugla,fethiye,cumhuriyet,3,1,120,21,0,14000
7071,mugla,bodrum,yahsi,2,1,85,10,0,41600
7072,mugla,ortaca,mergenli,2,1,150,5,0,18000
7074,mugla,mentese,emirbeyazit,2,1,110,20,0,15000
7077,mugla,marmaris,icmeler,2,1,110,15,5,18500
7079,mugla,fethiye,patlangic,1,1,55,0,0,10000
7080,mugla,mentese,dogan,2,1,120,15,2,10000
7081,mugla,bodrum,akyarlar,4,1,220,16,2,60000
7082,mugla,bodrum,turgutreis,4,1,170,15,2,40000
7083,mugla,fethiye,foca,2,1,90,10,1,16000
7084,mugla,fethiye,karagozler,2,1,85,30,1,22000
7085,mugla,koycegiz,kavakarasi,2,1,85,11,0,20000
7086,mugla,bodrum,guvercinlik,2,1,110,12,0,15000
7088,mugla,bodrum,dirmil,2,1,85,12,0,30000
7090,mugla,ula,akyaka,1,1,80,5,0,40000
7091,mugla,dalaman,serefler,4,1,170,11,0,35000
7092,mugla,milas,gulluk,2,1,110,5,4,40000
7093,mugla,marmaris,siteler,1,1,100,11,3,45000
7094,mugla,bodrum,geris,3,1,180,5,2,60000
7100,mugla,bodrum,eskicesme,2,1,90,3,2,40000
7101,mugla,ortaca,bahcelievler,2,1,90,6,5,13000
7102,mugla,bodrum,bahcelievler,4,1,160,15,2,40000
7106,mugla,fethiye,akarca,3,1,130,5,2,21000
7107,mugla,mentese,kotekli,2,1,60,10,1,13000
7108,mugla,marmaris,hatipirimi,3,1,130,0,0,35000
7110,mugla,bodrum,gumusluk,2,1,100,11,0,27000
7112,mugla,bodrum,torba,2,1,110,3,2,50000
7114,mugla,milas,gumusluk,3,1,120,22,2,11000
7115,mugla,bodrum,dirmil,3,1,140,2,0,30000
7116,mugla,marmaris,turunc,2,1,100,5,0,15000
7117,mugla,bodrum,bitez,1,1,50,11,1,15500
7118,mugla,bodrum,yenikoy,2,1,110,20,2,35000
7119,mugla,bodrum,geris,2,1,110,15,2,35000
7120,mugla,bodrum,golkoy,1,1,80,10,2,35000
7122,mugla,bodrum,eskicesme,3,1,225,15,1,50000
